Geo Point;Geo Shape;INSEE;commune;gml_id;GID;IDENT;TYPE;NOM;ETAT;NBPLACES;NBVELOS;NBELEC;NBCLASSIQ;CDATE;MDATE;code_commune;GEOM_O
44.85321, -0.56727;"{""coordinates"": [-0.56727, 44.85321], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.57;57;58;VLS;Chartrons;DECONNECTEE;1;17;10;7;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84978, -0.57024;"{""coordinates"": [-0.57024, 44.84978], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.58;58;59;VLS;CAPC;CONNECTEE;7;10;5;5;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84718, -0.57131;"{""coordinates"": [-0.57131, 44.84718], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.59;59;60;VLS;Allees de Chartres;CONNECTEE;15;4;3;1;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84625, -0.56495;"{""coordinates"": [-0.56495, 44.84625], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.60;60;61;VLS;Parc aux Angeliques;CONNECTEE;5;11;4;7;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.856476, -0.533983;"{""coordinates"": [-0.533983, 44.856476], ""type"": ""Point""}";33119;Cenon;CI_VCUB_P.61;61;62;VLS+;Cenon Gare;CONNECTEE;7;23;10;13;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33119;0
44.83028, -0.52697;"{""coordinates"": [-0.52697, 44.83028], ""type"": ""Point""}";33167;Floirac;CI_VCUB_P.62;62;63;VLS+;Francois Mitterrand;CONNECTEE;14;4;2;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33167;0
44.8396, -0.55645;"{""coordinates"": [-0.55645, 44.8396], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.63;63;64;VLS;La Benauge;CONNECTEE;13;5;3;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84034, -0.55955;"{""coordinates"": [-0.55955, 44.84034], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.64;64;65;VLS;Stalingrad;CONNECTEE;35;6;1;5;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84114, -0.56224;"{""coordinates"": [-0.56224, 44.84114], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.65;65;66;VLS;Gare d'Orleans;CONNECTEE;16;4;2;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84377, -0.55751;"{""coordinates"": [-0.55751, 44.84377], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.66;66;67;VLS;Allee de Serr Abadie;CONNECTEE;7;11;4;7;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84298, -0.55573;"{""coordinates"": [-0.55573, 44.84298], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.67;67;68;VLS;Jardin Botanique;CONNECTEE;15;3;1;2;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.84299, -0.55036;"{""coordinates"": [-0.55036, 44.84299], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.68;68;69;VLS;Cours Le Rouzic;CONNECTEE;2;12;2;10;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33063;0
44.86428, -0.5242;"{""coordinates"": [-0.5242, 44.86428], ""type"": ""Point""}";33249;Lormont;CI_VCUB_P.69;69;70;VLS+;Buttiniere;CONNECTEE;17;3;2;1;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33249;0
44.85418, -0.51282;"{""coordinates"": [-0.51282, 44.85418], ""type"": ""Point""}";33119;Cenon;CI_VCUB_P.70;70;72;VLS+;Jean Zay;CONNECTEE;19;4;3;1;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33119;0
44.8077, -0.54821;"{""coordinates"": [-0.54821, 44.8077], ""type"": ""Point""}";33039;Bègles;CI_VCUB_P.72;72;74;VLS+;Place du 14 juillet;CONNECTEE;10;12;6;6;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33039;0
44.807735, -0.560024;"{""coordinates"": [-0.560024, 44.807735], ""type"": ""Point""}";33039;Bègles;CI_VCUB_P.73;73;75;VLS+;Begles Poste;CONNECTEE;14;4;3;1;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33039;0
44.781742, -0.566207;"{""coordinates"": [-0.566207, 44.781742], ""type"": ""Point""}";33550;Villenave-d'Ornon;CI_VCUB_P.74;74;76;VLS+;Pont de la Maye;CONNECTEE;14;7;2;5;2011-01-01T01:00:00+01:00;2023-09-17T16:27:00+02:00;33550;0
